Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not done,All New Zealand businesses,Percent,18,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not done,All New Zealand businesses,Percent,17,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not done,All New Zealand businesses,Percent,22,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not done,All New Zealand businesses,Percent,29,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not done,All New Zealand businesses,Percent,35,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not done,All New Zealand businesses,Percent,16,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not done,All New Zealand businesses,Percent,37,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not done,All New Zealand businesses,Percent,41,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not done,All New Zealand businesses,Percent,..,2021,1 and 4 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not applicable,All New Zealand businesses,Percent,37,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not applicable,All New Zealand businesses,Percent,16,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not applicable,All New Zealand businesses,Percent,72,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not applicable,All New Zealand businesses,Percent,59,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not applicable,All New Zealand businesses,Percent,47,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not applicable,All New Zealand businesses,Percent,33,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not applicable,All New Zealand businesses,Percent,26,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not applicable,All New Zealand businesses,Percent,35,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not applicable,All New Zealand businesses,Percent,32,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not applicable,All New Zealand businesses,Percent,..,2021,1 and 4 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - don't know,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - don't know,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - don't know,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - don't know,All New Zealand businesses,Percent,10,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - don't know,All New Zealand businesses,Percent,11,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - don't know,All New Zealand businesses,Percent,11,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - don't know,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - don't know,All New Zealand businesses,Percent,11,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - don't know,All New Zealand businesses,Percent,12,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Overall - don't know,All New Zealand businesses,Percent,..,2021,1 and 4 and 8
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,All Maori authorities,Percent,41,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,All Maori authorities,Percent,35,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,All Maori authorities,Percent,57,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,All Maori authorities,Percent,7,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,All Maori authorities,Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,All Maori authorities,Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,All Maori authorities,Percent,22,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,All Maori authorities,Percent,17,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,All Maori authorities,Percent,11,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,All Maori authorities,Percent,4,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Other,All Maori authorities,Percent,11,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,All Maori authorities,Percent,9,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Don�t know,All Maori authorities,Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - primary industries (6-29 employees),Percent,53,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - primary industries (6-29 employees),Percent,35,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - primary industries (6-29 employees),Percent,53,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - primary industries (6-29 employees),Percent,12,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - primary industries (6-29 employees),Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - primary industries (6-29 employees),Percent,18,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - primary industries (6-29 employees),Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - primary industries (6-29 employees),Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - primary industries (6-29 employees),Percent,12,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - primary industries (6-29 employees),Percent,12,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - primary industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - primary industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Don�t know,Maori authorities - primary industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - primary industries (30 or more employees),Percent,75,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - primary industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - primary industries (30 or more employees),Percent,50,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - primary industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - primary industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Don�t know,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - other industries (6-29 employees),Percent,18,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - other industries (6-29 employees),Percent,29,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - other industries (6-29 employees),Percent,59,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - other industries (6-29 employees),Percent,35,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - other industries (6-29 employees),Percent,24,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - other industries (6-29 employees),Percent,18,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - other industries (6-29 employees),Percent,6,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - other industries (6-29 employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - other industries (6-29 employees),Percent,12,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - other industries (6-29 employees),Percent,12,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Don�t know,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - other industries (30 or more employees),Percent,63,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - other industries (30 or more employees),Percent,38,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - other industries (30 or more employees),Percent,63,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - other industries (30 or more employees),Percent,38,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - other industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - other industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - other industries (30 or more employees),Percent,25,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - other industries (30 or more employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Don�t know,Maori authorities - other industries (30 or more employees),Percent,0,2021,1 and 2 and 3 and 4
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Other Maori enterprises,Percent,29,2021,1 and 2 and 5
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Other Maori enterprises,Percent,10,2021,1 and 2 and 5
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Other Maori enterprises,Percent,24,2021,1 and 2 and 5
Table 24,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Other Maori enterprises,Percent,4,2021,1 and 2 and 5
